Unnamed: 0,class,user,userLink,tweet,date,cleaned_tweet,aspect,sentiment
0,insects,Russell French,https://twitter.com/frenchrw,Know your sorghum aphids!  Different thresholds insecticides depending on what aphid present.,2015-07-30T22:25:37.000Z,know sorghum aphid   different threshold insecticide depend aphid present,pest,neutral
1,insects,Farmer Tom,https://twitter.com/Farmer_Tom_UK,We LOVE #spiders  Do you? We only use insecticides if the alternative is crop loss but we’d much rather work with these lovely  who catch aphids OB midge & keep everything in balance in our fields. Thanks ! #farmlife #wheat #bread #farm #nature #wildlife #arachnid,2019-04-29T09:34:43.000Z,love spider   use insecticide alternative crop loss much rather work lovely   catch aphid ob midge   keep everything balance field thank   farmlife wheat bread farm nature wildlife arachnid,"usage,effectiveness,pest","positive,positive,positive"
2,insects,Katelyn Landeis,https://twitter.com/NDSUAgKatelyn,Soybean aphid resistance to pyrethroid insecticides is a reality in eastern ND as well as MN IA and SD. A new Multi-State Extension Pub- Management of Insecticide-resistant Soybean Aphids contains key points in managing resistance: https://ag.ndsu.edu/publications/crops/management-of-insecticide-resistant-soybean-aphids/e1878.pdf…,2018-03-19T21:31:07.000Z,soybean aphid resistance pyrethroid insecticide reality eastern nd well mn ia sd new multistate extension pub management insecticideresistant soybean aphid contain key point manage resistance,pest,positive
3,insects,MidCoast IPM,https://twitter.com/Midcoastipm,Untreated vs. Treated. Sivanto and Transform insecticides are controlling sugarcane aphids in South Texas. Scout and treat as necessary to prevent harvest problems from honeydew.,2018-07-10T17:06:50.000Z,untreated vs treat sivanto transform insecticide control sugarcane aphid south texas scout treat necessary prevent harvest problem honeydew,pest,neutral
4,insects,Dr Ian Bedford,https://twitter.com/DrIanBedford,Aphids will soon be seen on garden plants and so will the bugs that feed on them. Unfortunately most chemical insecticides used on aphids will also kill the beneficial garden bugsA fine fast flow spray of water will remove aphids without harming the beneficial bugs,2021-02-14T08:42:33.000Z,aphid soon see garden plant bug feed unfortunately chemical insecticide use aphid also kill beneficial garden bugsa fine fast flow spray water remove aphid without harm beneficial bug,"pest,toxicity,usage","neutral,negative,positive"
5,insects,David Jones,https://twitter.com/Kenya_Agron,Sorghum has certainly impressed in a very dry season and no insecticides required for aphids or Fall Armyworm.,2023-09-05T13:26:11.000Z,sorghum certainly impress dry season insecticide require aphid fall armyworm,pest,positive
6,insects,District Agriculture Officer Narayanpet,https://twitter.com/MJSudhakar8,Syrphid maggot is the voracious feeder of Aphids in Cotton. Spraying of Insecticides will destroy the natural enemies. Stem application is the best alternative to spraying. This year Agriculture Department Narayanpet district has created awareness through demonstrations.,2019-07-25T16:31:22.000Z,syrphid maggot voracious feeder aphid cotton spray insecticide destroy natural enemy stem application good alternative spray year agriculture department narayanpet district create awareness demonstration,"pest,usage","negative,positive"
7,insects,David Jones,https://twitter.com/Kenya_Agron,Spotted the other day when collecting #FallArmyworm - a Syrphid Fly Larvae which is a farmers friend. These eat aphids reducing the need for insecticides. So worth identifying them correctly!,2021-01-26T18:19:26.000Z,spot day collecting fallarmyworm   syrphid fly larvae farmer friend eat aphid reduce need insecticide worth identify correctly,pest,positive
9,insects,Lesley Lancaster,https://twitter.com/Lancaster_LT,@BethLilyMoore discussing #aphids #insecticides and #climatechange. @UoABioSci @fiona_bugsnbees #sbsresearchday,2017-12-18T15:00:14.000Z,bethlilymoore discuss aphid insecticide climatechange uoabiosci fiona_bugsnbee sbsresearchday,pest,neutral
10,insects,Marieke Patton,https://twitter.com/MariekePatton,One of THE best soybean staging charts around! Credit goes to Horst Bohner and @cropdoc2 A great tool when you are staging your soybeans for fungicides and/or insecticides#WhiteMould #Aphids #ItsGrowTime #Ontag,2021-06-30T12:19:09.000Z,one good soybean stage chart around credit go horst bohner cropdoc2 great tool stage soybean fungicide andor insecticideswhitemould aphids itsgrowtime ontag,overall,positive
12,insects,Ed Sikora,https://twitter.com/alabamaED,Symptoms of Cucumber mosaic virus (CMV) on pepper. Plants are stunted with distorted growth & off-color leaves. CMV is spread by aphids. Weed control & reflective mulches may reduce disease but Insecticides are not effective in disease control#Virus #Plantdisease,2023-06-07T04:25:10.000Z,symptom cucumber mosaic virus cmv pepper plant stunt distorted growth   offcolor leave cmv spread aphids weed control   reflective mulch may reduce disease insecticide effective disease controlvirus plantdisease,control methods,negative
13,insects,TheRoadknight,https://twitter.com/RoadknightThe,WAR UPDATEDay 20 and we seem to be winning after five different insecticides and a few home remedies.I sense some insurgent aphids are plotting further incursions.First rose picked for the season: Black Caviar.,2022-10-11T00:46:13.000Z,war updateday 20 seem win five different insecticide home remediesi sense insurgent aphid plot incursionsfirst rise pick season black caviar,control methods,positive
14,insects,Emma Hamer,https://twitter.com/emmahamer2,One ladybird can eat 5000 aphids during its lifetime which can eradicate the need for insecticides Just listening to a #cropitlikeitshot  @BASISRegLtd podcast featuring @AHDB_Arabletech and  Ben Harrington of @EdaphosAgronomy. Well worth a listen #IPM,2020-12-29T16:43:46.000Z,one ladybird eat 5000 aphid lifetime eradicate need insecticide listen cropitlikeitshot   basisregltd podcast feature ahdb_arabletech   ben harrington edaphosagronomy well worth listen ipm,pest,positive
15,insects,David Lord,https://twitter.com/essexwindyfarm,Shocker. BYDV took 50% wheat yield on this small block after potatoes sown 12th Oct.Hallmark sprayed early Nov aphids migrated in AFTER this! Area on right shows a repeat treatment 6th December to run the sprayer out…No insecticides vs changing climate = a challenge,2023-07-31T10:01:59.000Z,shocker bydv take 50 wheat yield small block potato sow 12th octhallmark spray early nov aphid migrate area right show repeat treatment 6th december run sprayer outno insecticides vs change climate   challenge,"usage,pest","negative,negative"
16,insects,Brendan Guinan,https://twitter.com/BrendanGuinan,Covers going onto the crops this morning they protect againts cabbage root fly aphids so it takes away the need to spray insecticides,2017-04-22T09:30:29.000Z,cover go onto crop morning protect againt cabbage root fly aphid take away need spray insecticide,control methods,positive
17,insects,Thomas Peters,https://twitter.com/BeetWeedControl,Policy decisions involving agriculture must be well discussed before implementation. Aphids vector Beet Western Yellows. Ban on neonic insecticides that control aphids are attributed to yield losses in France and other European countries.,2020-08-26T13:46:34.000Z,policy decision involve agriculture must well discuss implementation aphid vector beet western yellow ban neonic insecticide control aphid attribute yield loss france european country,pest,negative
18,insects,Farmers Of The UK,https://twitter.com/FarmersOfTheUK,We’re hopefully giving a better environment for beneficial insects such as spiders and ladybirds to control aphids in our crops.  We stopped spraying insecticides 6 years ago and rely on these natural predators.,2021-11-23T13:42:42.000Z,hopefully give well environment beneficial insect spider ladybird control aphid crop   stop spray insecticide 6 year ago rely natural predator,control methods,positive
19,insects,Jake Gehrls,https://twitter.com/GehrlsJake,I have never seen so many northern corn rootworm beetles. Also the amount of aphids in west central Minnesota is getting high. Keep an eye out and make sure your insecticides are controlling the aphids. 2017 wasn’t fun when we had to respray everything a week later.,2022-08-25T21:54:51.000Z,I never see many northern corn rootworm beetle also amount aphid west central minnesota get high keep eye make sure insecticide control aphid 2017 fun respray everything week later,pest,negative
